2.78,3.34,40.517726,-74.375839
2.82,3.58,41.460394,-74.372353
2.74,3.39,40.82527,-72.991023
2.90,3.35,40.092631,-74.959266
2.89,3.39,40.156019,-75.138144
2.80,3.09,40.007164,-74.977744
2.89,3.45,40.638141,-75.442943
2.79,3.14,39.838901,-75.09034
2.83,3.32,39.720182,-75.020741
2.77,3.57,41.651822,-72.731782
2.85,3.33,39.393002,-74.543987
3.13,3.92,41.453394,-75.646016
3.16,3.68,41.233562,-75.863523
2.93,3.55,40.413902,-75.924743
2.97,3.67,39.193449,-75.553338
2.90,3.16,42.757542,-73.763573
2.83,3.39,40.260858,-76.769568
2.99,3.64,39.980219,-76.673507
3.07,3.85,41.240367,-76.820679
2.99,3.39,40.250105,-77.025062
2.77,3.37,39.336386,-76.487442
2.97,3.74,39.828686,-76.990527
2.90,3.54,39.288885,-76.732632
2.76,3.47,39.148379,-76.651057
3.03,3.72,38.416015,-75.569035
2.91,3.98,38.988937,-76.55181
2.92,3.94,39.100903,-76.800488
2.77,3.63,42.726477,-71.42626
3.29,4.14,40.833707,-77.806731
2.93,3.65,39.38586,-77.41168
2.73,3.39,38.647751,-76.890134
2.93,3.76,39.631835,-77.764808
2.86,3.64,43.226321,-71.476158
2.93,3.52,39.023265,-77.42713
2.74,3.32,38.647074,-77.29703
3.33,4.14,40.454102,-78.40786
2.70,3.37,43.62282,-70.351027
2.89,3.90,44.692722,-73.484788
2.65,3.07,37.119453,-76.508843
2.84,3.29,37.639844,-77.553546
2.66,3.12,36.840303,-76.089332
3.16,3.82,40.30841,-79.592287
2.81,3.46,37.504881,-77.626783
2.65,3.13,36.830742,-76.416667
2.77,3.67,36.769628,-76.248263
2.53,3.37,38.099761,-78.466199
2.89,3.77,43.095159,-78.97481
2.79,3.79,37.250304,-77.389593
3.15,3.94,40.56538,-79.803564
3.04,3.65,40.435964,-79.80004
3.11,3.90,40.876513,-79.953122
3.04,3.65,40.344454,-79.949253
3.00,3.65,40.534736,-80.067437
2.99,3.84,40.449882,-80.177142
2.82,3.60,39.647208,-80.000051
3.15,3.94,42.050849,-80.092645
2.87,3.54,40.184299,-80.217959
2.57,3.59,41.033825,-80.632839
2.80,3.74,39.27588,-80.279771
2.73,3.44,41.226502,-80.744668
2.69,3.31,37.351462,-79.186766
2.77,3.74,40.074546,-80.878092
2.73,3.63,41.717754,-81.293666
2.73,3.45,44.830064,-68.738528
2.49,3.29,40.878417,-81.436769
2.55,3.20,35.96071,-77.823961
2.59,3.39,41.118405,-81.469657
2.67,3.50,41.366577,-81.512599
2.58,2.81,37.319435,-79.966355
2.61,3.28,35.546345,-77.406642
2.63,3.49,41.420052,-81.756621
2.64,3.39,36.586083,-79.430921
2.44,3.12,39.309824,-81.551765
2.65,3.10,35.955748,-78.538653
2.65,3.10,35.846776,-78.584809
2.54,3.39,41.421502,-82.080811
2.83,3.67,35.967349,-78.956079
2.75,3.72,39.988218,-82.031444
2.61,3.14,35.750677,-78.646445
2.59,3.39,35.382985,-77.936606
2.94,3.79,37.802885,-81.17481
2.77,3.49,38.322382,-81.712405
2.67,3.70,40.78211,-82.58887
2.62,3.30,34.783592,-77.396525
2.75,3.84,41.400976,-82.666361
2.79,3.48,36.057446,-79.898627
2.68,3.26,37.240199,-81.248149
2.77,3.90,42.968797,-82.458965
2.70,3.51,36.18695,-80.272143
2.83,3.62,39.938029,-82.782676
2.59,3.39,36.066529,-80.312006
2.49,3.17,35.085505,-78.955728
2.78,3.85,42.529827,-82.913497
2.77,3.54,40.086798,-83.088825
2.64,3.89,38.411737,-82.52282
2.68,3.68,42.630566,-83.008426
2.74,3.84,39.361122,-82.978524
2.77,3.74,39.986495,-83.153189
2.65,3.53,42.521467,-83.104953
2.73,3.65,42.215686,-83.214374
2.76,3.85,42.444367,-83.264425
2.83,3.86,42.70607,-83.282911
2.63,3.36,34.234136,-77.878053
