2.71,3.37,43.609,-70.358
2.73,3.49,42.557,-70.977
2.69,3.49,42.232,-71.173
2.83,3.68,41.36,-72.214
2.83,3.59,40.927,-72.707
2.83,3.29,41.818,-72.556
2.84,3.59,41.993,-72.576
2.68,3.37,42.132,-72.621
2.77,3.57,41.71,-72.763
2.74,3.44,40.773,-73.05
2.85,3.73,41.251,-73.025
2.89,3.44,41.54,-72.968
2.73,3.45,40.807,-73.286
2.69,3.29,41.442,-73.406
2.73,3.45,40.619,-73.652
2.87,3.73,40.896,-73.795
2.75,3.45,40.233,-74.046
2.73,3.30,40.055,-74.157
2.79,3.43,39.707,-74.288
2.67,3.04,40.674,-74.104
2.77,3.39,40.419,-74.171
2.75,3.45,40.861,-74.064
2.89,3.75,41.107,-74.025
2.79,3.53,40.573,-74.169
2.73,3.27,40.832,-74.137
3.01,3.94,44.504,-73.175
2.73,3.35,40.362,-74.303
2.69,3.09,40.694,-74.288
2.71,3.33,40.891,-74.255
2.77,3.34,40.53,-74.376
2.77,3.57,40.612,-74.459
2.75,3.34,40.437,-74.507
2.69,3.57,40.282,-74.675
2.75,3.35,40.907,-74.569
2.79,3.09,39.972,-74.908
2.75,3.49,40.522,-74.852
2.69,3.09,39.927,-75.04
2.89,3.39,40.197,-75.08
2.94,3.39,40.237,-75.234
2.99,3.74,39.89,-75.532
2.66,3.13,36.852,-76.2
2.75,3.27,39.677,-75.648
2.99,3.59,40.238,-75.576
2.89,3.45,40.566,-75.558
2.67,3.12,37.106,-76.497
2.96,3.66,40.053,-76.257
2.77,3.37,39.358,-76.445
2.81,3.48,39.196,-76.6
2.81,3.51,39.156,-76.731
2.74,3.39,38.67,-76.873
2.89,3.69,39.187,-76.794
2.86,3.67,38.923,-76.851
2.97,3.69,39.406,-76.789
2.85,3.66,39.032,-76.909
2.75,3.33,38.742,-77.088
2.83,3.44,40.307,-76.798
2.63,3.36,34.248,-77.873
2.91,3.53,43.057,-76.268
2.74,3.32,38.642,-77.292
2.82,3.29,37.642,-77.561
2.81,3.66,38.849,-77.372
2.82,3.44,37.514,-77.605
